"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007186","GO:0007186","G protein-coupled receptor signaling pathway","52/541","226/10683",6.53795682080831e-21,6.53795682080831e-21,1.45624385608741e-17,"fz/rut/inaC/TkR86C/Galphaf/Dop1R1/Crz/mGluR/Oamb/Lrpprc2/mthl3/hec/CCKLR-17D3/CG13995/Dh31/sNPF/CCHa2-R/CG13229/Dh44-R2/twz/CG13575/Nplp1/FMRFaR/Rh7/NPFR/Tk/PK2-R1/TyrR/Octalpha2R/Octbeta1R/CCAP-R/CG12290/Proc/CG31760/CG32683/Dh31-R/Gpb5/CG34351/TrissinR/CG34384/stops/Octbeta3R/Pdfr/rdgA/TfAP-2/CG43373/MsR2/CG43795/rdgC/Dop1R2/AstA-R1/Ggamma30A",52
"GO:0040011","GO:0040011","locomotion","63/541","420/10683",3.4856917233146e-15,3.4856917233146e-15,3.1884642165493e-12,"D/Ddc/fz/grk/gt/kay/Lim3/ort/pk/ttk/ptc/tup/Ten-m/mew/pros/N/sim/tok/ple/dac/Con/Nmdar1/trn/Wnt4/Dop1R1/beat-Ia/NetB/caps/cry/beat-Ic/beat-Ib/SoxN/erm/beat-IIIc/Dscam1/Mmp2/ckn/Hr51/unc-5/Toll-7/CCDC151/beat-IIb/beat-IIa/beat-VI/DIP-gamma/dlp/Proc/Trim9/Krn/dpr11/CG34353/Pvf3/vvl/Pdfr/Dscam3/haf/rdgA/pdm3/Tl/Sema2b/Neto/rdgC/Fhos",63
"GO:0042330","GO:0042330","taxis","54/541","324/10683",4.29448157711034e-15,4.29448157711034e-15,3.1884642165493e-12,"D/Ddc/fz/gt/Lim3/ort/pk/ptc/tup/Ten-m/mew/pros/N/tok/ple/dac/Con/Nmdar1/trn/Wnt4/Dop1R1/beat-Ia/NetB/caps/cry/beat-Ic/beat-Ib/SoxN/erm/beat-IIIc/Dscam1/Mmp2/ckn/Hr51/unc-5/Toll-7/CCDC151/beat-IIb/beat-IIa/beat-VI/DIP-gamma/dlp/Trim9/dpr11/CG34353/vvl/Pdfr/Dscam3/haf/rdgA/pdm3/Tl/Sema2b/rdgC",54
"GO:0006935","GO:0006935","chemotaxis","43/541","267/10683",1.00873978286028e-11,1.00873978286028e-11,5.61708784350621e-09,"D/fz/gt/Lim3/pk/ptc/tup/Ten-m/mew/pros/N/tok/dac/Con/trn/Wnt4/beat-Ia/NetB/caps/beat-Ic/beat-Ib/SoxN/erm/beat-IIIc/Dscam1/Mmp2/ckn/Hr51/unc-5/Toll-7/beat-IIb/beat-IIa/beat-VI/DIP-gamma/dlp/Trim9/dpr11/vvl/Dscam3/haf/pdm3/Tl/Sema2b",43
"GO:0007411","GO:0007411","axon guidance","41/541","250/10683",1.72568792124526e-11,1.72568792124526e-11,7.68748556074732e-09,"D/fz/gt/Lim3/pk/ptc/tup/Ten-m/mew/pros/N/tok/dac/trn/Wnt4/beat-Ia/NetB/caps/beat-Ic/beat-Ib/SoxN/erm/beat-IIIc/Dscam1/Mmp2/ckn/Hr51/unc-5/Toll-7/beat-IIb/beat-IIa/beat-VI/DIP-gamma/dlp/Trim9/dpr11/vvl/Dscam3/haf/pdm3/Sema2b",41
"GO:0007409","GO:0007409","axonogenesis","46/541","312/10683",4.31540442648031e-11,4.31540442648031e-11,1.33945703573867e-08,"D/fz/gt/kay/Lim3/pk/rut/ptc/tup/Ten-m/mew/pros/rho/N/sim/tok/dac/trn/Wnt4/beat-Ia/NetB/caps/beat-Ic/beat-Ib/SoxN/erm/beat-IIIc/Dscam1/Mmp2/ckn/Hr51/unc-5/Toll-7/beat-IIb/beat-IIa/beat-VI/DIP-gamma/dlp/Trim9/dpr11/vvl/mfas/Dscam3/haf/pdm3/Sema2b",46
"GO:0061564","GO:0061564","axon development","47/541","324/10683",4.66305953261469e-11,4.66305953261469e-11,1.33945703573867e-08,"D/fz/gt/kay/Lim3/pk/rut/ptc/tup/Ten-m/mew/pros/rho/N/sim/tok/dac/Con/trn/Wnt4/beat-Ia/NetB/caps/beat-Ic/beat-Ib/SoxN/erm/beat-IIIc/Dscam1/Mmp2/ckn/Hr51/unc-5/Toll-7/beat-IIb/beat-IIa/beat-VI/DIP-gamma/dlp/Trim9/dpr11/vvl/mfas/Dscam3/haf/pdm3/Sema2b",47
"GO:0097485","GO:0097485","neuron projection guidance","41/541","258/10683",4.81090428715212e-11,4.81090428715212e-11,1.33945703573867e-08,"D/fz/gt/Lim3/pk/ptc/tup/Ten-m/mew/pros/N/tok/dac/trn/Wnt4/beat-Ia/NetB/caps/beat-Ic/beat-Ib/SoxN/erm/beat-IIIc/Dscam1/Mmp2/ckn/Hr51/unc-5/Toll-7/beat-IIb/beat-IIa/beat-VI/DIP-gamma/dlp/Trim9/dpr11/vvl/Dscam3/haf/pdm3/Sema2b",41
"GO:0007155","GO:0007155","cell adhesion","36/541","213/10683",1.29122827661853e-10,1.29122827661853e-10,3.19560120856702e-08,"bib/ed/CG17716/fz/rst/Vinc/Ten-m/mew/N/Con/Lac/trn/Ret/beat-Ia/mspo/caps/sns/beat-Ic/beat-Ib/hbs/beat-IIIc/beat-IIb/beat-IIa/beat-VI/mesh/Invadolysin/beat-VII/mfas/Dscam3/kug/Flo2/Sema2b/Zasp52/Fhos/CG45263/otk2",36
"GO:0008045","GO:0008045","motor neuron axon guidance","20/541","71/10683",1.7446061472039e-10,1.7446061472039e-10,3.88588063945627e-08,"Lim3/tup/Ten-m/N/tok/trn/Wnt4/beat-Ia/NetB/caps/beat-Ic/beat-Ib/beat-IIIc/Mmp2/unc-5/beat-IIb/beat-IIa/beat-VI/vvl/haf",20
"GO:0007218","GO:0007218","neuropeptide signaling pathway","17/541","54/10683",6.06577293043236e-10,6.06577293043236e-10,1.22824646132008e-07,"TkR86C/Crz/CCKLR-17D3/CG13995/sNPF/CCHa2-R/CG13575/Nplp1/FMRFaR/NPFR/Tk/PK2-R1/CCAP-R/Proc/Pdfr/MsR2/AstA-R1",17
