sample	Basal
GSM1172844	0
GSM1172845	0
GSM1172846	1
GSM1172847	1
GSM1172848	1
GSM1172849	1
GSM1172850	0
GSM1172851	0
GSM1172853	0
GSM1172854	0
GSM1172855	0
GSM1172856	0
GSM1172858	0
GSM1172859	0
GSM1172860	0
GSM1172861	1
GSM1172863	0
GSM1172864	0
GSM1172865	0
GSM1172867	1
GSM1172868	1
GSM1172869	1
GSM1172870	1
GSM1172871	1
GSM1172872	0
GSM1172873	0
GSM1172874	1
GSM1172875	0
GSM1172876	1
GSM1172877	0
GSM1172878	1
GSM1172879	0
GSM1172881	0
GSM1172882	0
GSM1172883	0
GSM1172884	0
GSM1172885	0
GSM1172886	0
GSM1172888	0
GSM1172889	0
GSM1172890	0
GSM1172893	0
GSM1172895	0
GSM1172896	0
GSM1172897	1
GSM1172901	0
GSM1172902	0
GSM1172903	0
GSM1172904	0
GSM1172905	0
GSM1172906	0
GSM1172907	0
GSM1172908	0
GSM1172909	0
GSM1172910	0
GSM1384316	0
